filename,class_name,label,left_ear,right_ear,avg_ear,mar,pitch,yaw,roll,eye_closed
alert_00000.jpg,alert,0,0.435041,0.441775,0.438408,0.627445,-171.6348,5.5166,3.5182,0
alert_00001.jpg,alert,0,0.413043,0.422208,0.417626,0.604951,-170.8146,5.9147,3.8556,0
alert_00002.jpg,alert,0,0.409202,0.424002,0.416602,0.628753,-170.4212,8.4406,3.8119,0
alert_00003.jpg,alert,0,0.439886,0.451539,0.445712,0.625097,-170.9652,8.2761,3.1127,0
alert_00004.jpg,alert,0,0.444784,0.455988,0.450386,0.635094,-170.2623,9.6409,3.1613,0
alert_00005.jpg,alert,0,0.43801,0.451527,0.444768,0.619439,-170.3976,10.76,3.2231,0
alert_00006.jpg,alert,0,0.406631,0.434247,0.420439,0.628506,-170.3277,10.2274,3.6146,0
alert_00007.jpg,alert,0,0.439523,0.464409,0.451966,0.617358,-169.3181,11.0457,4.0816,0
alert_00008.jpg,alert,0,0.444841,0.474983,0.459912,0.626824,-170.0621,11.8068,3.9301,0
alert_00009.jpg,alert,0,0.433851,0.455867,0.444859,0.618646,-169.8784,11.6932,4.314,0
alert_00010.jpg,alert,0,0.439675,0.472628,0.456152,0.603168,-169.3469,11.5558,4.2676,0
alert_00011.jpg,alert,0,0.433998,0.444004,0.439001,0.618912,-168.6868,12.179,4.5964,0
alert_00012.jpg,alert,0,0.430899,0.457086,0.443992,0.628813,-167.394,12.1285,4.7751,0
alert_00013.jpg,alert,0,0.420728,0.44097,0.430849,0.622562,-168.1369,12.2871,4.4145,0
alert_00014.jpg,alert,0,0.446723,0.459472,0.453098,0.594578,-167.3586,13.1652,4.8237,0
alert_00015.jpg,alert,0,0.449638,0.468532,0.459085,0.622118,-168.2613,12.6461,4.6339,0
alert_00016.jpg,alert,0,0.432415,0.439752,0.436083,0.630677,-168.656,12.0438,4.7311,0
alert_00017.jpg,alert,0,0.445512,0.464111,0.454812,0.632859,-169.2254,11.2274,4.1733,0
alert_00018.jpg,alert,0,0.463185,0.474543,0.468864,0.622289,-168.2091,12.7751,4.2472,0
alert_00019.jpg,alert,0,0.44901,0.462104,0.455557,0.637276,-168.2583,12.6068,4.2544,0
